instance_name,run_index,execution_time,final_objective
problem_100_0.5,1,57.0,433577.58
problem_100_0.5,2,57.0,443738.73
problem_100_0.5,3,57.01,424379.08
problem_100_0.5,4,57.01,438458.57
problem_100_0.5,5,57.01,436943.4
problem_100_0.5,6,57.01,426543.53
problem_100_0.5,7,57.01,444691.47
problem_100_0.5,8,57.02,447281.8
problem_100_0.5,9,57.0,449024.82
problem_100_0.5,10,57.02,452550.46
problem_100_0.5,11,57.01,457425.92
problem_100_0.5,12,57.0,462238.77
problem_100_0.5,13,57.0,457292.23
problem_100_0.5,14,57.04,432095.19
problem_100_0.5,15,57.03,422875.97
problem_100_0.5,16,57.01,470061.19
problem_100_0.5,17,57.0,444781.98
problem_100_0.5,18,57.02,435679.37
problem_100_0.5,19,57.01,447545.63
problem_100_0.5,20,57.02,464103.8
problem_100_0.5,21,57.01,442551.65
problem_100_0.5,22,57.02,460197.97
problem_100_0.5,23,57.0,447470.4
problem_100_0.5,24,57.01,458518.77
problem_100_0.5,25,57.0,448693.09
problem_100_0.5,26,57.02,452874.54
problem_100_0.5,27,57.01,458741.03
problem_100_0.5,28,57.0,432503.05
problem_100_0.5,29,57.0,440504.41
problem_100_0.5,30,57.01,439135.98
problem_100_0.7,1,57.0,645493.98
problem_100_0.7,2,57.0,662118.24
problem_100_0.7,3,57.01,657438.23
problem_100_0.7,4,57.0,647559.38
problem_100_0.7,5,57.01,667813.85
problem_100_0.7,6,57.0,648504.64
problem_100_0.7,7,57.01,639709.1
problem_100_0.7,8,57.01,628891.82
problem_100_0.7,9,57.0,639949.22
problem_100_0.7,10,57.01,651499.96
problem_100_0.7,11,57.01,655481.46
problem_100_0.7,12,57.0,660344.64
problem_100_0.7,13,57.01,641252.96
problem_100_0.7,14,57.01,665873.94
problem_100_0.7,15,57.01,666762.05
problem_100_0.7,16,57.0,649162.04
problem_100_0.7,17,57.01,652211.41
problem_100_0.7,18,57.02,669067.58
problem_100_0.7,19,57.01,662185.25
problem_100_0.7,20,57.0,664954.17
problem_100_0.7,21,57.02,650522.29
problem_100_0.7,22,57.0,651655.89
problem_100_0.7,23,57.01,679577.2
problem_100_0.7,24,57.01,641566.94
problem_100_0.7,25,57.02,652065.04
problem_100_0.7,26,57.01,648344.62
problem_100_0.7,27,57.01,658805.1
problem_100_0.7,28,57.03,664943.78
problem_100_0.7,29,57.01,630395.31
problem_100_0.7,30,57.01,627489.68
problem_100_0.85,1,57.04,481417.36
problem_100_0.85,2,57.04,487655.57
problem_100_0.85,3,57.0,482514.04
problem_100_0.85,4,57.02,478388.7
problem_100_0.85,5,57.02,498081.69
problem_100_0.85,6,57.02,462906.37
problem_100_0.85,7,57.03,453219.68
problem_100_0.85,8,57.04,479314.12
problem_100_0.85,9,57.01,472681.12
problem_100_0.85,10,57.02,475280.33
problem_100_0.85,11,57.0,478769.64
problem_100_0.85,12,57.03,489196.13
problem_100_0.85,13,57.05,468345.77
problem_100_0.85,14,57.02,492709.06
problem_100_0.85,15,57.05,471118.49
problem_100_0.85,16,57.04,463881.06
problem_100_0.85,17,57.01,500370.33
problem_100_0.85,18,57.03,497288.97
problem_100_0.85,19,57.06,489789.92
problem_100_0.85,20,57.0,471944.48
problem_100_0.85,21,57.0,482562.78
problem_100_0.85,22,57.0,480662.51
problem_100_0.85,23,57.06,483522.42
problem_100_0.85,24,57.02,481502.58
problem_100_0.85,25,57.05,478070.38
problem_100_0.85,26,57.0,464215.77
problem_100_0.85,27,57.04,462918.02
problem_100_0.85,28,57.02,473770.37
problem_100_0.85,29,57.02,472882.04
problem_100_0.85,30,57.02,478962.74
problem_130_0.5,1,57.02,582603.84
problem_130_0.5,2,57.01,573336.73
problem_130_0.5,3,57.01,556687.0
problem_130_0.5,4,57.05,587029.03
problem_130_0.5,5,57.03,556397.05
problem_130_0.5,6,57.02,550048.2
problem_130_0.5,7,57.02,554907.85
problem_130_0.5,8,57.04,569392.18
problem_130_0.5,9,57.04,550835.54
problem_130_0.5,10,57.0,584092.26
problem_130_0.5,11,57.02,570163.9
problem_130_0.5,12,57.07,563289.38
problem_130_0.5,13,57.05,553599.85
problem_130_0.5,14,57.02,561122.87
problem_130_0.5,15,57.07,565049.21
problem_130_0.5,16,57.03,582835.7
problem_130_0.5,17,57.03,588623.98
problem_130_0.5,18,57.01,569492.75
problem_130_0.5,19,57.03,557208.57
problem_130_0.5,20,57.04,572642.11
problem_130_0.5,21,57.01,583485.03
problem_130_0.5,22,57.01,561844.58
problem_130_0.5,23,57.01,559180.8
problem_130_0.5,24,57.01,580276.86
problem_130_0.5,25,57.03,560249.29
problem_130_0.5,26,57.04,564659.73
problem_130_0.5,27,57.04,555129.33
problem_130_0.5,28,57.03,559319.32
problem_130_0.5,29,57.02,563721.61
problem_130_0.5,30,57.02,552938.68
problem_130_0.7,1,57.05,635530.84
problem_130_0.7,2,57.03,612549.59
problem_130_0.7,3,57.02,612642.75
problem_130_0.7,4,57.02,619644.86
problem_130_0.7,5,57.03,616075.89
problem_130_0.7,6,57.01,628166.21
problem_130_0.7,7,57.05,606352.42
problem_130_0.7,8,57.04,618527.85
problem_130_0.7,9,57.01,609600.89
problem_130_0.7,10,57.02,621983.36
problem_130_0.7,11,57.04,601984.91
problem_130_0.7,12,57.07,627824.27
problem_130_0.7,13,57.02,628732.01
problem_130_0.7,14,57.03,624837.86
problem_130_0.7,15,57.01,620409.12
problem_130_0.7,16,57.04,631169.18
problem_130_0.7,17,57.0,622785.36
problem_130_0.7,18,57.03,592958.3
problem_130_0.7,19,57.01,629122.1
problem_130_0.7,20,57.05,637038.57
problem_130_0.7,21,57.07,629459.74
problem_130_0.7,22,57.08,610115.84
problem_130_0.7,23,57.03,628981.56
problem_130_0.7,24,57.07,639899.13
problem_130_0.7,25,57.0,622188.48
problem_130_0.7,26,57.04,620365.2
problem_130_0.7,27,57.01,620445.75
problem_130_0.7,28,57.02,605584.35
problem_130_0.7,29,57.04,595736.09
problem_130_0.7,30,57.05,610319.39
problem_130_0.85,1,57.03,583860.95
problem_130_0.85,2,57.03,569282.55
problem_130_0.85,3,57.05,598791.96
problem_130_0.85,4,57.02,580969.37
problem_130_0.85,5,57.03,603774.23
problem_130_0.85,6,57.01,602913.78
problem_130_0.85,7,57.04,583778.41
problem_130_0.85,8,57.01,570454.31
problem_130_0.85,9,57.03,588572.78
problem_130_0.85,10,57.07,581903.6
problem_130_0.85,11,57.0,577983.83
problem_130_0.85,12,57.03,570227.9
problem_130_0.85,13,57.07,590556.02
problem_130_0.85,14,57.01,570155.01
problem_130_0.85,15,57.0,581995.87
problem_130_0.85,16,57.03,591961.4
problem_130_0.85,17,57.03,584111.99
problem_130_0.85,18,57.03,594731.65
problem_130_0.85,19,57.02,582106.08
problem_130_0.85,20,57.03,600334.65
problem_130_0.85,21,57.07,579421.6
problem_130_0.85,22,57.01,570761.32
problem_130_0.85,23,57.01,588694.62
problem_130_0.85,24,57.02,563086.41
problem_130_0.85,25,57.01,573128.06
problem_130_0.85,26,57.07,592739.33
problem_130_0.85,27,57.03,600850.38
problem_130_0.85,28,57.02,565054.34
problem_130_0.85,29,57.08,580981.75
problem_130_0.85,30,57.02,564067.59
problem_150_0.5,1,57.02,572532.52
problem_150_0.5,2,57.05,599085.23
problem_150_0.5,3,57.06,569497.54
problem_150_0.5,4,57.01,524731.22
problem_150_0.5,5,57.04,573353.6
problem_150_0.5,6,57.03,572391.16
problem_150_0.5,7,57.0,585032.95
problem_150_0.5,8,57.01,567662.16
problem_150_0.5,9,57.03,557151.82
problem_150_0.5,10,57.0,559223.29
problem_150_0.5,11,57.02,592447.18
problem_150_0.5,12,57.06,588523.26
problem_150_0.5,13,57.01,568646.54
problem_150_0.5,14,57.05,579074.32
problem_150_0.5,15,57.04,574272.02
problem_150_0.5,16,57.01,588403.01
problem_150_0.5,17,57.01,582691.52
problem_150_0.5,18,57.07,591862.19
problem_150_0.5,19,57.04,550205.28
problem_150_0.5,20,57.02,585475.97
problem_150_0.5,21,57.01,553609.77
problem_150_0.5,22,57.01,545540.15
problem_150_0.5,23,57.01,552787.5
problem_150_0.5,24,57.0,550248.71
problem_150_0.5,25,57.04,584960.35
problem_150_0.5,26,57.02,599248.57
problem_150_0.5,27,57.01,559636.63
problem_150_0.5,28,57.02,572578.48
problem_150_0.5,29,57.02,540390.64
problem_150_0.5,30,57.05,567052.86
problem_150_0.7,1,57.03,579948.66
problem_150_0.7,2,57.01,554786.48
problem_150_0.7,3,57.0,568243.41
problem_150_0.7,4,57.05,572282.23
problem_150_0.7,5,57.04,564383.24
problem_150_0.7,6,57.01,562135.23
problem_150_0.7,7,57.06,569165.93
problem_150_0.7,8,57.06,584962.83
problem_150_0.7,9,57.0,567366.42
problem_150_0.7,10,57.03,584113.99
problem_150_0.7,11,57.03,574599.38
problem_150_0.7,12,57.04,590190.76
problem_150_0.7,13,57.04,580318.38
problem_150_0.7,14,57.09,601293.63
problem_150_0.7,15,57.04,575014.15
problem_150_0.7,16,57.02,584544.99
problem_150_0.7,17,57.08,581491.64
problem_150_0.7,18,57.05,554027.54
problem_150_0.7,19,57.01,580395.29
problem_150_0.7,20,57.01,572527.58
problem_150_0.7,21,57.01,576976.56
problem_150_0.7,22,57.0,581525.52
problem_150_0.7,23,57.01,577985.54
problem_150_0.7,24,57.03,575369.37
problem_150_0.7,25,57.02,563347.17
problem_150_0.7,26,57.0,586961.41
problem_150_0.7,27,57.03,562556.65
problem_150_0.7,28,57.0,573136.76
problem_150_0.7,29,57.06,553765.74
problem_150_0.7,30,57.02,573825.36
problem_150_0.85,1,57.04,536371.59
problem_150_0.85,2,57.05,545653.12
problem_150_0.85,3,57.07,552585.37
problem_150_0.85,4,57.08,559570.56
problem_150_0.85,5,57.09,558480.2
problem_150_0.85,6,57.01,530952.25
problem_150_0.85,7,57.04,531081.54
problem_150_0.85,8,57.02,565049.35
problem_150_0.85,9,57.02,540038.89
problem_150_0.85,10,57.02,551715.89
problem_150_0.85,11,57.01,559332.26
problem_150_0.85,12,57.03,552953.25
problem_150_0.85,13,57.02,523144.46
problem_150_0.85,14,57.02,565518.32
problem_150_0.85,15,57.01,531095.53
problem_150_0.85,16,57.05,537905.34
problem_150_0.85,17,57.04,552279.3
problem_150_0.85,18,57.02,528114.83
problem_150_0.85,19,57.04,528270.64
problem_150_0.85,20,57.06,555135.54
problem_150_0.85,21,57.05,552416.33
problem_150_0.85,22,57.04,532325.7
problem_150_0.85,23,57.07,534495.67
problem_150_0.85,24,57.04,560292.71
problem_150_0.85,25,57.03,528280.18
problem_150_0.85,26,57.06,553234.76
problem_150_0.85,27,57.02,545514.07
problem_150_0.85,28,57.02,543012.54
problem_150_0.85,29,57.06,553743.89
problem_150_0.85,30,57.06,543331.97
problem_20_0.7,1,22.86,160685.99
problem_20_0.7,2,23.89,160685.99
problem_20_0.7,3,24.65,160685.99
problem_20_0.7,4,24.16,160685.99
problem_20_0.7,5,23.34,160685.99
problem_20_0.7,6,24.46,160685.99
problem_20_0.7,7,25.74,160685.99
problem_20_0.7,8,26.23,160685.99
problem_20_0.7,9,23.52,160685.99
problem_20_0.7,10,23.32,160685.99
problem_20_0.7,11,23.48,160685.99
problem_20_0.7,12,24.45,160685.99
problem_20_0.7,13,25.39,160685.99
problem_20_0.7,14,24.93,160685.99
problem_20_0.7,15,26.56,160685.99
problem_20_0.7,16,26.18,160685.99
problem_20_0.7,17,24.87,160685.99
problem_20_0.7,18,22.39,160685.99
problem_20_0.7,19,22.46,160685.99
problem_20_0.7,20,22.0,160685.99
problem_20_0.7,21,21.5,160685.99
problem_20_0.7,22,21.3,160685.99
problem_20_0.7,23,20.13,160685.99
problem_20_0.7,24,19.0,160685.99
problem_20_0.7,25,19.44,160685.99
problem_20_0.7,26,20.54,160685.99
problem_20_0.7,27,17.6,160685.99
problem_20_0.7,28,22.14,160685.99
problem_20_0.7,29,18.52,160685.99
problem_20_0.7,30,18.77,160685.99
problem_30_0.7,1,19.53,205158.83
problem_30_0.7,2,20.16,200253.8
problem_30_0.7,3,22.35,207290.76
problem_30_0.7,4,21.78,201302.9
problem_30_0.7,5,23.01,198162.68
problem_30_0.7,6,21.42,204426.0
problem_30_0.7,7,22.18,199157.59
problem_30_0.7,8,20.32,207216.71
problem_30_0.7,9,18.4,201016.32
problem_30_0.7,10,21.89,199157.59
problem_30_0.7,11,22.0,198969.07
problem_30_0.7,12,21.63,198162.68
problem_30_0.7,13,21.89,205055.77
problem_30_0.7,14,22.01,201281.77
problem_30_0.7,15,22.97,200973.32
problem_30_0.7,16,24.77,204426.0
problem_30_0.7,17,24.43,199869.85
problem_30_0.7,18,26.58,203706.48
problem_30_0.7,19,24.81,212123.87
problem_30_0.7,20,24.83,209113.98
problem_30_0.7,21,24.82,200973.32
problem_30_0.7,22,24.93,198162.68
problem_30_0.7,23,24.26,202927.89
problem_30_0.7,24,25.16,210080.51
problem_30_0.7,25,24.41,207290.76
problem_30_0.7,26,24.07,206651.8
problem_30_0.7,27,25.2,203745.53
problem_30_0.7,28,24.65,206220.75
problem_30_0.7,29,24.46,200386.55
problem_30_0.7,30,27.56,205109.52
problem_50_0.5,1,57.0,296453.18
problem_50_0.5,2,57.02,307438.4
problem_50_0.5,3,57.0,298250.34
problem_50_0.5,4,57.0,306686.82
problem_50_0.5,5,57.01,308702.68
problem_50_0.5,6,57.0,290322.16
problem_50_0.5,7,57.01,295735.87
problem_50_0.5,8,57.01,286167.63
problem_50_0.5,9,57.01,298724.98
problem_50_0.5,10,57.01,299631.17
problem_50_0.5,11,57.0,304877.65
problem_50_0.5,12,57.0,301037.87
problem_50_0.5,13,57.0,297659.28
problem_50_0.5,14,57.0,296038.29
problem_50_0.5,15,57.0,290713.07
problem_50_0.5,16,57.02,304731.53
problem_50_0.5,17,57.0,302449.76
problem_50_0.5,18,57.01,308021.13
problem_50_0.5,19,57.0,306314.36
problem_50_0.5,20,57.01,298463.94
problem_50_0.5,21,57.0,289271.23
problem_50_0.5,22,57.01,286819.44
problem_50_0.5,23,57.01,293578.32
problem_50_0.5,24,57.01,297971.6
problem_50_0.5,25,57.02,287197.68
problem_50_0.5,26,57.0,301551.34
problem_50_0.5,27,57.0,294178.63
problem_50_0.5,28,57.0,286791.35
problem_50_0.5,29,57.02,292322.9
problem_50_0.5,30,57.01,285315.71
problem_50_0.7,1,57.01,266418.07
problem_50_0.7,2,57.02,265883.81
problem_50_0.7,3,57.01,267174.53
problem_50_0.7,4,57.02,263723.32
problem_50_0.7,5,57.0,265980.79
problem_50_0.7,6,57.01,270861.83
problem_50_0.7,7,57.01,273102.92
problem_50_0.7,8,57.0,273389.38
problem_50_0.7,9,57.0,262461.6
problem_50_0.7,10,57.01,264987.64
problem_50_0.7,11,57.01,268661.25
problem_50_0.7,12,57.01,273678.96
problem_50_0.7,13,57.0,267174.53
problem_50_0.7,14,57.0,272724.38
problem_50_0.7,15,57.0,273938.92
problem_50_0.7,16,57.01,276124.24
problem_50_0.7,17,57.0,270739.85
problem_50_0.7,18,57.01,268505.01
problem_50_0.7,19,57.0,273733.48
problem_50_0.7,20,57.02,269367.22
problem_50_0.7,21,57.01,276887.6
problem_50_0.7,22,57.0,265693.55
problem_50_0.7,23,57.0,265883.81
problem_50_0.7,24,57.0,274084.04
problem_50_0.7,25,57.01,270221.59
problem_50_0.7,26,57.01,273105.87
problem_50_0.7,27,57.01,274131.22
problem_50_0.7,28,57.0,269417.62
problem_50_0.7,29,57.01,270870.26
problem_50_0.7,30,57.01,265883.81
problem_50_0.85,1,57.01,260557.72
problem_50_0.85,2,57.0,266244.79
problem_50_0.85,3,57.01,259662.38
problem_50_0.85,4,57.0,257543.63
problem_50_0.85,5,57.0,262300.71
problem_50_0.85,6,57.01,262930.1
problem_50_0.85,7,57.0,264069.79
problem_50_0.85,8,57.01,265298.5
problem_50_0.85,9,57.0,257136.45
problem_50_0.85,10,57.01,253477.27
problem_50_0.85,11,57.01,263626.33
problem_50_0.85,12,57.02,256804.91
problem_50_0.85,13,57.01,258054.59
problem_50_0.85,14,57.01,259912.78
problem_50_0.85,15,57.0,264861.55
problem_50_0.85,16,57.01,268729.11
problem_50_0.85,17,57.01,261202.74
problem_50_0.85,18,57.0,257522.55
problem_50_0.85,19,57.0,271240.83
problem_50_0.85,20,57.0,257125.66
problem_50_0.85,21,57.0,260717.0
problem_50_0.85,22,57.0,260299.87
problem_50_0.85,23,57.01,262982.11
problem_50_0.85,24,57.02,266650.99
problem_50_0.85,25,57.01,267672.25
problem_50_0.85,26,57.01,269400.85
problem_50_0.85,27,57.01,257725.98
problem_50_0.85,28,57.02,263052.4
problem_50_0.85,29,57.0,268960.2
problem_50_0.85,30,57.01,263874.5
problem_70_0.5,1,57.0,323176.22
problem_70_0.5,2,57.01,332716.32
problem_70_0.5,3,57.02,320949.49
problem_70_0.5,4,57.01,323365.1
problem_70_0.5,5,57.02,319836.84
problem_70_0.5,6,57.01,315561.74
problem_70_0.5,7,57.0,311318.06
problem_70_0.5,8,57.0,318319.94
problem_70_0.5,9,57.0,315284.97
problem_70_0.5,10,57.01,313468.64
problem_70_0.5,11,57.01,307837.15
problem_70_0.5,12,57.01,308773.86
problem_70_0.5,13,57.0,309032.87
problem_70_0.5,14,57.01,318355.53
problem_70_0.5,15,57.01,317070.26
problem_70_0.5,16,57.0,323369.53
problem_70_0.5,17,57.0,314846.13
problem_70_0.5,18,57.01,310544.61
problem_70_0.5,19,57.02,304381.71
problem_70_0.5,20,57.01,313744.94
problem_70_0.5,21,57.01,321490.25
problem_70_0.5,22,57.0,325946.83
problem_70_0.5,23,57.0,320918.06
problem_70_0.5,24,57.0,312877.96
problem_70_0.5,25,57.0,318304.45
problem_70_0.5,26,57.02,309368.88
problem_70_0.5,27,57.02,331178.96
problem_70_0.5,28,57.01,311156.03
problem_70_0.5,29,57.01,313334.39
problem_70_0.5,30,57.01,313907.63
problem_70_0.7,1,57.0,352258.25
problem_70_0.7,2,57.01,361460.16
problem_70_0.7,3,57.0,354040.51
problem_70_0.7,4,57.01,350086.96
problem_70_0.7,5,57.02,353855.41
problem_70_0.7,6,57.01,363227.98
problem_70_0.7,7,57.0,356492.49
problem_70_0.7,8,57.0,351359.13
problem_70_0.7,9,57.01,377199.24
problem_70_0.7,10,57.0,365227.99
problem_70_0.7,11,57.01,351328.06
problem_70_0.7,12,57.0,357616.43
problem_70_0.7,13,57.01,368931.27
problem_70_0.7,14,57.01,375282.5
problem_70_0.7,15,57.01,365041.07
problem_70_0.7,16,57.0,347708.01
problem_70_0.7,17,57.01,358440.95
problem_70_0.7,18,57.0,356962.25
problem_70_0.7,19,57.02,354623.12
problem_70_0.7,20,57.01,350194.44
problem_70_0.7,21,57.0,361665.65
problem_70_0.7,22,57.02,369371.16
problem_70_0.7,23,57.02,349086.9
problem_70_0.7,24,57.0,366623.25
problem_70_0.7,25,57.01,361262.96
problem_70_0.7,26,57.01,349789.26
problem_70_0.7,27,57.01,349459.31
problem_70_0.7,28,57.0,349110.12
problem_70_0.7,29,57.0,351574.41
problem_70_0.7,30,57.01,369799.81
problem_70_0.85,1,57.01,388924.13
problem_70_0.85,2,57.01,381422.44
problem_70_0.85,3,57.0,373924.15
problem_70_0.85,4,57.02,390010.14
problem_70_0.85,5,57.01,387243.18
problem_70_0.85,6,57.0,370000.3
problem_70_0.85,7,57.03,383467.01
problem_70_0.85,8,57.03,370714.85
problem_70_0.85,9,57.03,386751.01
problem_70_0.85,10,57.01,388233.53
problem_70_0.85,11,57.04,365968.04
problem_70_0.85,12,57.04,378880.23
problem_70_0.85,13,57.0,364096.85
problem_70_0.85,14,57.02,363517.18
problem_70_0.85,15,57.02,388759.95
problem_70_0.85,16,57.01,371992.28
problem_70_0.85,17,57.02,378503.53
problem_70_0.85,18,57.04,394488.46
problem_70_0.85,19,57.0,384163.58
problem_70_0.85,20,57.02,377145.57
problem_70_0.85,21,57.01,384804.95
problem_70_0.85,22,57.02,373040.66
problem_70_0.85,23,57.02,382227.4
problem_70_0.85,24,57.02,376618.02
problem_70_0.85,25,57.01,377552.97
problem_70_0.85,26,57.01,375909.36
problem_70_0.85,27,57.01,369360.11
problem_70_0.85,28,57.04,381197.55
problem_70_0.85,29,57.01,348439.19
problem_70_0.85,30,57.01,388946.71
